iter	Passed	Remaining
0	1	1531
1	2	1380
2	3	1308
3	5	1276
4	6	1252
5	7	1238
6	8	1223
7	9	1215
8	11	1211
9	13	1327
10	14	1328
11	16	1322
12	17	1313
13	18	1318
14	19	1311
15	21	1302
16	22	1292
17	23	1284
18	24	1275
19	26	1282
20	27	1286
21	28	1286
22	30	1314
23	32	1319
24	33	1315
25	34	1311
26	36	1302
27	37	1295
28	38	1289
29	39	1283
30	41	1307
31	43	1302
32	44	1297
33	45	1292
34	46	1286
35	48	1304
36	49	1297
37	50	1290
38	52	1282
39	53	1275
40	54	1267
41	55	1267
42	56	1265
43	58	1280
44	60	1278
45	61	1275
46	62	1275
47	64	1276
48	70	1371
49	73	1388
50	74	1386
51	75	1379
52	76	1373
53	77	1365
54	79	1358
55	80	1352
56	81	1345
57	82	1338
58	84	1345
59	86	1348
60	87	1344
61	88	1342
62	90	1346
63	91	1340
64	92	1335
65	93	1329
66	95	1323
67	96	1317
68	97	1312
69	99	1315
70	100	1314
71	102	1326
72	104	1327
73	106	1328
74	107	1325
75	108	1323
76	110	1318
77	111	1315
78	114	1333
79	115	1331
80	116	1326
81	118	1321
82	118	1310
83	120	1308
84	122	1315
85	123	1315
86	125	1312
87	126	1312
88	127	1309
89	129	1310
90	131	1310
91	132	1306
92	133	1302
93	134	1297
94	135	1292
95	137	1290
96	139	1294
97	141	1298
98	142	1300
99	144	1298
100	145	1294
101	146	1289
102	147	1285
103	148	1281
104	149	1276
105	150	1272
106	152	1268
107	153	1264
108	154	1264
109	156	1267
110	158	1266
111	159	1264
112	160	1261
113	161	1257
114	162	1253
115	164	1250
116	164	1244
117	166	1241
118	167	1237
119	168	1235
120	169	1234
121	170	1230
122	172	1228
123	173	1228
124	175	1228
125	177	1229
126	178	1227
127	179	1224
128	180	1220
129	182	1219
130	183	1216
131	184	1213
132	185	1209
133	186	1206
134	187	1203
135	188	1200
136	190	1197
137	193	1206
138	194	1206
139	196	1207
140	197	1204
141	198	1200
142	199	1197
143	201	1194
144	202	1192
145	203	1189
146	204	1187
147	206	1186
148	207	1184
149	208	1182
150	212	1193
151	213	1191
152	215	1190
153	216	1187
154	217	1184
155	218	1182
156	219	1179
157	220	1176
158	221	1174
159	223	1171
160	223	1167
161	225	1164
162	227	1169
163	229	1168
164	230	1166
165	232	1165
166	233	1166
167	235	1163
168	236	1161
169	237	1158
170	238	1156
171	239	1153
172	240	1151
173	241	1148
174	243	1145
175	244	1147
176	246	1146
177	248	1145
178	249	1144
179	250	1142
180	251	1139
181	253	1137
182	254	1135
183	255	1132
184	256	1129
185	257	1126
186	258	1123
187	259	1121
188	260	1118
189	261	1116
190	263	1117
191	264	1115
192	266	1113
193	267	1110
194	268	1108
195	269	1106
196	270	1103
197	271	1101
198	273	1098
199	274	1096
200	275	1093
201	276	1091
202	277	1088
203	278	1086
204	279	1084
205	281	1084
206	282	1083
207	284	1081
208	285	1079
209	286	1078
210	287	1076
211	289	1074
212	290	1072
213	291	1071
214	292	1068
215	293	1066
216	295	1064
217	296	1061
218	297	1059
219	298	1060
220	300	1058
221	301	1056
222	302	1054
223	303	1052
224	304	1049
225	305	1047
226	306	1045
227	309	1046
228	311	1047
229	312	1047
230	314	1047
231	316	1048
232	317	1046
233	319	1044
234	320	1042
235	321	1040
236	322	1039
237	323	1036
238	324	1034
239	326	1032
240	327	1030
241	328	1028
242	329	1025
243	330	1023
244	331	1021
245	332	1019
246	335	1021
247	336	1019
248	337	1017
249	338	1015
250	339	1013
251	340	1010
252	341	1008
253	342	1006
254	343	1004
255	344	1002
256	346	1000
257	347	998
258	348	996
259	349	994
260	350	993
261	353	994
262	354	992
263	355	990
264	356	988
265	357	986
266	358	984
267	359	982
268	360	980
269	361	978
270	362	976
271	363	974
272	365	973
273	366	971
274	367	969
275	368	967
276	370	968
277	372	967
278	373	965
279	374	964
280	376	963
281	377	962
282	378	960
283	380	958
284	381	956
285	382	954
286	383	952
287	384	951
288	385	949
289	386	947
290	389	948
291	390	946
292	391	945
293	392	943
294	394	942
295	395	941
296	396	939
297	398	937
298	399	935
299	400	933
300	401	931
301	402	930
302	403	928
303	404	926
304	405	924
305	407	924
306	408	923
307	410	921
308	411	919
309	412	917
310	413	916
311	415	915
312	416	913
313	417	911
314	418	910
315	419	908
316	420	906
317	422	905
318	423	904
319	425	904
320	427	904
321	429	905
322	431	903
323	432	902
324	433	900
325	435	899
326	437	899
327	438	899
328	440	897
329	443	900
330	445	899
331	446	898
332	447	896
333	449	895
334	451	895
335	452	893
336	453	892
337	454	890
338	456	890
339	458	889
340	461	891
341	462	890
342	464	889
343	466	889
344	467	888
345	469	886
346	470	885
347	472	884
348	473	882
349	474	881
350	475	879
351	477	878
352	479	879
353	481	878
354	482	876
355	483	875
356	485	874
357	487	873
358	488	872
359	490	872
360	493	873
361	497	877
362	502	881
363	504	880
364	505	879
365	506	878
366	508	876
367	509	875
368	510	873
369	512	872
370	513	870
371	516	871
372	517	870
373	519	870
374	522	871
375	524	870
376	525	868
377	526	866
378	528	865
379	529	863
380	530	862
381	533	863
382	534	861
383	536	860
384	538	859
385	539	857
386	540	856
387	541	854
388	543	853
389	544	851
390	545	849
391	546	848
392	548	846
393	549	845
394	552	846
395	554	845
396	555	843
397	558	844
398	559	842
399	560	841
400	561	839
401	562	837
402	564	835
403	565	834
404	566	832
405	568	831
406	569	830
407	571	828
408	572	827
409	573	825
410	574	823
411	575	821
412	576	819
413	577	818
414	579	816
415	580	814
416	581	812
417	582	811
418	583	809
419	584	807
420	585	805
421	587	804
422	588	803
423	589	801
424	591	799
425	592	797
426	593	796
427	595	795
428	596	793
429	597	791
430	598	790
431	599	788
432	600	786
433	601	784
434	603	783
435	605	782
436	606	781
437	608	780
438	609	778
439	610	776
440	611	775
441	612	773
442	613	771
443	614	769
444	615	768
445	616	766
446	617	764
447	619	762
448	620	761
449	621	759
450	623	759
451	624	757
452	626	756
453	627	754
454	628	752
455	629	750
456	630	749
457	631	747
458	632	745
459	633	743
460	634	742
461	636	740
462	637	739
463	638	738
464	640	736
465	642	735
466	643	734
467	644	732
468	645	731
469	647	729
470	648	727
471	649	726
472	650	724
473	651	723
474	653	721
475	654	720
476	655	718
477	656	716
478	657	715
479	659	714
480	660	713
481	662	711
482	663	709
483	664	708
484	667	708
485	668	707
486	670	706
487	671	704
488	672	702
489	674	702
490	676	701
491	677	699
492	678	698
493	679	696
494	681	694
495	682	693
496	683	691
497	684	689
498	685	688
