iter	Passed	Remaining
0	1	134
1	2	121
2	3	116
3	4	107
4	5	106
5	6	105
6	7	104
7	8	103
8	10	104
9	11	104
10	12	102
11	13	101
12	14	99
13	16	98
14	17	97
15	18	95
16	19	94
17	20	93
18	21	92
19	22	90
20	23	90
21	25	88
22	26	87
23	27	86
24	28	84
25	29	83
26	30	82
27	31	81
28	32	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	74
35	41	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	52	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	96	16
85	97	15
86	98	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	109	4
96	110	3
97	111	2
98	113	1
99	114	0
